timestamp,iter,pick,target,duration_ms,reasoning,x,y,hp,hunger,thirst,energy,sickness,bladder,temperature,current_action,inventory,daily_goal_step
2026-04-26T16:52:56,1,forage_bush,bush_15,2845,Prioritize gathering wood for shelter and tools near visited area,30,15,100,99.5,99.6,99,0,0,25,walk_to,,1/3
2026-04-26T16:53:01,1,forage_bush,bush_11,2838,"Hunger is near full, but need to gather wood for shelter and tools.",32.74,12.76,100,99.3,99.5,98.3,0,0,25,walk_to,berry,1/3
2026-04-26T16:53:06,1,forage_bush,bush_11,2588,Prioritize gathering wood for shelter and tools as per the plan.,35.24,10.76,100,99.1,99.3,97.6,0,0,25,walk_to,berry|berry,1/3
2026-04-26T16:53:09,1,forage_bush,bush_11,3388,"Hunger is full, but need to gather wood for shelter and tools.",34.87,10.79,100,99.1,99.3,97.3,0,0,25,walk_to,berry|berry|berry,1/3
2026-04-26T16:53:13,1,forage_bush,bush_21,3147,Hunger and thirst are already high; prioritize gathering wood for shelter and tools.,35.22,10.77,100,99.1,99.2,96.9,0,0,25,walk_to,berry|berry|berry|berry,1/3
2026-04-26T16:53:22,1,forage_bush,bush_21,3424,Hunger and thirst are already high; prioritize gathering wood for shelter and tools.,24.2,19.23,100,98.4,98.7,95.2,0,0,25,walk_to,berry|berry|berry|berry|berry,1/3
2026-04-26T16:53:29,1,forage_bush,bush_16,3226,"Hunger and thirst are near max, but need to gather wood for shelter and tools.",24.7,19.61,100,98.3,98.7,94.9,0,0,25,walk_to,berry|berry|berry|berry|berry|berry,1/3
2026-04-26T16:53:36,1,forage_bush,bush_16,3517,"Hunger and energy are high, but priority is gathering wood for shelter and tools.",20.77,13.2,100,97.8,96.9,91.6,0,3.6,22,walk_to,berry|berry|berry|berry|berry|berry|berry,1/3
2026-04-26T16:53:40,1,forage_bush,bush_14,3085,Prioritize gathering wood for shelter and tools as per today's plan.,20.66,13.45,100,97.8,96.9,91.3,0,3.6,22,walk_to,berry|berry|berry|berry|berry|berry|berry|berry,1/3
2026-04-26T16:53:45,1,forage_bush,bush_14,3440,"Hunger and energy are stable, but need to gather wood for shelter and tools.",18.68,11.57,100,97.6,96.8,90.6,0,3.6,22,walk_to,berry|berry|berry|berry|berry|berry|berry|berry|berry,1/3
2026-04-26T16:53:49,1,forage_bush,bush_14,3107,"Hunger and energy are high, but priority is gathering wood for shelter/tools.",18.59,12.54,100,97.5,96.7,90.2,0,3.6,22,walk_to,berry|berry|berry|berry|berry|berry|berry|berry|berry|berry,1/3
2026-04-26T16:53:52,1,forage_bush,bush_12,2452,"Hunger and energy are stable, but need to gather wood for shelter and tools.",18.5,12.63,100,97.5,96.7,89.9,0,3.6,22,walk_to,berry|berry|berry|berry|berry|berry|berry|berry|berry|berry|berry,1/3
2026-04-26T16:54:01,1,forage_bush,bush_7,3360,"Hunger and energy are stable, but need to gather wood for shelter and tools.",14.55,10.42,100,97.3,96.5,89.1,0,3.6,22,walk_to,berry|berry|berry|berry|berry|berry|berry|berry|berry|berry|berry|berry,1/3
2026-04-26T16:54:05,1,forage_bush,bush_7,3078,Prioritize gathering wood for shelter and tools as per the active subgoal.,14.44,9.57,100,97.2,96.5,88.7,0,3.6,22,walk_to,berry|berry|berry|berry|berry|berry|berry|berry|berry|berry|berry|berry|berry,1/3
2026-04-26T16:54:08,1,forage_bush,bush_7,3006,Hunger and thirst are high; prioritize gathering resources for base establishment.,15.74,9.31,100,97.2,96.4,88.3,0,3.6,22,walk_to,berry|berry|berry|berry|berry|berry|berry|berry|berry|berry|berry|berry|berry|berry,1/3
2026-04-26T16:54:13,1,forage_bush,bush_5,3474,"Hunger is near full, but gathering wood for shelter/tools is critical.",15.52,8.39,100,97.1,96.4,87.9,0,3.6,22,walk_to,berry|berry|berry|berry|berry|berry|berry|berry|berry|berry|berry|berry|berry|berry|berry,1/3
2026-04-26T16:54:19,1,wander_e,,4679,"Hunger and energy are stable, but need to gather wood for shelter and tools.",13.88,6.79,100,97.0,96.3,87.4,0,3.6,22,walk_to,berry|berry|berry|berry|berry|berry|berry|berry|berry|berry|berry|berry|berry|berry|berry|berry,1/3
2026-04-26T16:54:27,1,forage_bush,bush_6,3995,"Hunger and thirst are high, but energy is sufficient. Prioritize gathering resources for base establishment.",24,7,100,96.5,95.9,86.3,0,3.6,22,walk_to,berry|berry|berry|berry|berry|berry|berry|berry|berry|berry|berry|berry|berry|berry|berry|berry,1/3
2026-04-26T16:54:37,1,forage_bush,bush_6,5009,"Hunger and energy are stable, but need to gather wood for shelter and tools.",21.75,8.29,100,96.3,94.4,83.7,0,7.2,22,walk_to,berry|berry|berry|berry|berry|berry|berry|berry|berry|berry|berry|berry|berry|berry|berry|berry|berry,1/3
